anchor_id,node_id,haplotype_count,U,D,C,alpha,beta,gamma,final_score,selected
a1,n1,124,0.0,0.7217741935483871,0.7115145872129112,0.35,0.35,0.3,0.46607534390580885,False
a2,n2,124,0.0,0.4442204301075269,0.75,0.35,0.35,0.3,0.38047715053763437,False
a3,n3,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a4,n4,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
a5,n5,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a6,n6,124,0.0,0.08333333333333333,0.75,0.35,0.35,0.3,0.25416666666666665,False
a7,n7,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a8,n8,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a9,n9,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a10,n10,123,0.008064516129032251,0.027553763440860215,0.997983870967742,0.35,0.35,0.3,0.3118615591397849,False
a11,n11,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
a12,n12,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a13,n13,124,0.0,0.055331541218637995,0.7510121457489878,0.35,0.35,0.3,0.24466968315121962,False
a14,n14,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a15,n15,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a16,n16,124,0.0,0.19422043010752688,0.6787773933102653,0.35,0.35,0.3,0.27161036853071396,False
a17,n17,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a18,n18,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a19,n19,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a20,n20,124,0.0,0.055331541218637995,0.7510121457489878,0.35,0.35,0.3,0.24466968315121962,False
a21,n21,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a22,n22,124,0.0,0.055331541218637995,0.7510121457489878,0.35,0.35,0.3,0.24466968315121962,False
a23,n23,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a24,n24,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
a25,n25,124,0.0,0.08333333333333333,0.6666666666666666,0.35,0.35,0.3,0.22916666666666666,False
a26,n26,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a27,n27,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a28,n28,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a29,n29,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a30,n30,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a31,n31,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a32,n32,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a33,n33,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a34,n34,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a35,n35,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a36,n36,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a37,n37,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a38,n38,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a39,n39,123,0.008064516129032251,0.027553763440860215,0.997983870967742,0.35,0.35,0.3,0.3118615591397849,False
a40,n40,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a41,n41,123,0.008064516129032251,0.027553763440860215,0.997983870967742,0.35,0.35,0.3,0.3118615591397849,False
a42,n42,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a43,n43,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a44,n44,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a45,n45,123,0.008064516129032251,0.027553763440860215,0.997983870967742,0.35,0.35,0.3,0.3118615591397849,False
a46,n46,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a47,n47,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
a48,n48,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a49,n49,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
a50,n50,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a51,n51,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a52,n52,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a53,n53,124,0.0,0.027777777777777776,1.0,0.35,0.35,0.3,0.30972222222222223,False
a54,n54,124,0.0,0.05555555555555555,0.75,0.35,0.35,0.3,0.2444444444444444,False
