source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n1,n104,124,1.0,1.0,1.0
n1,n11,124,1.0,1.0,1.0
n1,n117,124,1.0,1.0,1.0
n1,n121,124,1.0,1.0,1.0
n1,n13,123,0.9919354838709677,0.9919354838709677,0.9919354838709677
n1,n2,124,1.0,1.0,1.0
n1,n24,124,1.0,1.0,1.0
n1,n4,124,1.0,1.0,1.0
n1,n47,124,1.0,1.0,1.0
n1,n55,124,1.0,1.0,1.0
n1,n97,124,1.0,1.0,1.0
n10,n22,123,0.9919354838709677,1.0,0.9959677419354839
n100,n6602,124,1.0,1.0,1.0
n1000,n1702,124,1.0,1.0,1.0
n10000,n19753,124,1.0,1.0,1.0
n10001,n1067,124,1.0,1.0,1.0
n10002,n3098,124,1.0,1.0,1.0
n10003,n6551,124,1.0,1.0,1.0
n10004,n19767,124,1.0,1.0,1.0
n10005,n8572,124,1.0,1.0,1.0
n10006,n2987,124,1.0,1.0,1.0
n10007,n7082,124,1.0,1.0,1.0
n10008,n14918,124,1.0,1.0,1.0
n10009,n19791,124,1.0,1.0,1.0
n1001,n5767,124,1.0,1.0,1.0
n10010,n1349,124,1.0,1.0,1.0
n10011,n6453,123,0.9919354838709677,1.0,0.9959677419354839
n10012,n3220,124,1.0,1.0,1.0
n10012,n6763,124,1.0,1.0,1.0
n10013,n8542,123,0.9919354838709677,1.0,0.9959677419354839
n10014,n9461,124,1.0,1.0,1.0
n10015,n16923,124,1.0,1.0,1.0
n10016,n16948,124,1.0,1.0,1.0
n10017,n15512,124,1.0,1.0,1.0
n10018,n8226,124,1.0,1.0,1.0
n10019,n16976,124,1.0,1.0,1.0
n1002,n9560,124,1.0,1.0,1.0
n10020,n19832,124,1.0,1.0,1.0
n10021,n8380,124,1.0,1.0,1.0
n10022,n19846,124,1.0,1.0,1.0
n10023,n19848,124,1.0,1.0,1.0
n10024,n17049,124,1.0,1.0,1.0
n10025,n17052,124,1.0,1.0,1.0
n10026,n19861,124,1.0,1.0,1.0
n10027,n13848,124,1.0,1.0,1.0
n10028,n8758,124,1.0,1.0,1.0
n10029,n16179,123,0.9919354838709677,1.0,0.9959677419354839
n1003,n11460,124,1.0,1.0,1.0
n10030,n18638,124,1.0,1.0,1.0
n10031,n19886,124,1.0,1.0,1.0
n10032,n4822,124,1.0,1.0,1.0
n10033,n19910,124,1.0,1.0,1.0
n10034,n17212,124,1.0,1.0,1.0
n10035,n19924,124,1.0,1.0,1.0
n10036,n4456,124,1.0,1.0,1.0
n10037,n7437,124,1.0,1.0,1.0
n10038,n9266,124,1.0,1.0,1.0
n10039,n19943,124,1.0,1.0,1.0
n1004,n1642,124,1.0,1.0,1.0
n10040,n17191,124,1.0,1.0,1.0
n10041,n9454,123,0.9919354838709677,1.0,0.9959677419354839
n10042,n19960,124,1.0,1.0,1.0
n10043,n17330,124,1.0,1.0,1.0
n10043,n17331,124,1.0,1.0,1.0
n10044,n2920,124,1.0,1.0,1.0
n10045,n19965,124,1.0,1.0,1.0
n10046,n7654,124,1.0,1.0,1.0
n10047,n10218,124,1.0,1.0,1.0
n10048,n12812,124,1.0,1.0,1.0
n10049,n12860,124,1.0,1.0,1.0
n1005,n2836,124,1.0,1.0,1.0
n10050,n19010,124,1.0,1.0,1.0
n10051,n14560,124,1.0,1.0,1.0
n10052,n17417,124,1.0,1.0,1.0
n10053,n17439,124,1.0,1.0,1.0
n10054,n15813,124,1.0,1.0,1.0
n10055,n16200,124,1.0,1.0,1.0
n10056,n7583,124,1.0,1.0,1.0
n10057,n10025,124,1.0,1.0,1.0
n10058,n17501,124,1.0,1.0,1.0
n10059,n17527,123,0.9919354838709677,1.0,0.9959677419354839
n1006,n18123,124,1.0,1.0,1.0
n10060,n21056,124,1.0,1.0,1.0
n10061,n20676,124,1.0,1.0,1.0
n10062,n20043,124,1.0,1.0,1.0
n10063,n644,124,1.0,1.0,1.0
n10064,n646,124,1.0,1.0,1.0
n10065,n2427,124,1.0,1.0,1.0
n10065,n882,124,1.0,1.0,1.0
n10065,n883,124,1.0,1.0,1.0
n10065,n884,124,1.0,1.0,1.0
n10066,n20054,124,1.0,1.0,1.0
n10067,n17634,124,1.0,1.0,1.0
n10067,n17635,124,1.0,1.0,1.0
n10067,n20055,124,1.0,1.0,1.0
n10068,n10756,124,1.0,1.0,1.0
n10069,n8867,124,1.0,1.0,1.0
n1007,n9635,124,1.0,1.0,1.0
n10070,n3084,123,0.9919354838709677,1.0,0.9959677419354839
n10071,n3975,124,1.0,1.0,1.0
n10072,n5579,124,1.0,1.0,1.0
n10073,n17829,124,1.0,1.0,1.0
n10073,n20100,124,1.0,1.0,1.0
n10073,n3615,124,1.0,1.0,1.0
n10073,n3616,123,0.9919354838709677,0.9919354838709677,0.9919354838709677
n10074,n9546,124,1.0,1.0,1.0
n10075,n20107,124,1.0,1.0,1.0
n10076,n11232,124,1.0,1.0,1.0
n10076,n11233,124,1.0,1.0,1.0
n10077,n17876,124,1.0,1.0,1.0
n10078,n14629,124,1.0,1.0,1.0
n10079,n4711,124,1.0,1.0,1.0
n1008,n18220,124,1.0,1.0,1.0
n10080,n6821,124,1.0,1.0,1.0
n10081,n5381,124,1.0,1.0,1.0
n10082,n11560,124,1.0,1.0,1.0
n10083,n11711,124,1.0,1.0,1.0
n10084,n2162,124,1.0,1.0,1.0
n10085,n11769,124,1.0,1.0,1.0
n10086,n15067,124,1.0,1.0,1.0
n10087,n18112,124,1.0,1.0,1.0
n10088,n18113,124,1.0,1.0,1.0
n10089,n18130,124,1.0,1.0,1.0
n1009,n10349,124,1.0,1.0,1.0
n10090,n20196,124,1.0,1.0,1.0
n10091,n17398,124,1.0,1.0,1.0
n10092,n17418,124,1.0,1.0,1.0
n10092,n9887,124,1.0,1.0,1.0
n10093,n18252,124,1.0,1.0,1.0
n10094,n18281,124,1.0,1.0,1.0
n10095,n9873,124,1.0,1.0,1.0
n10096,n20228,124,1.0,1.0,1.0
n10097,n19662,124,1.0,1.0,1.0
n10098,n10061,124,1.0,1.0,1.0
n10099,n18308,124,1.0,1.0,1.0
n101,n16538,124,1.0,1.0,1.0
n1010,n2855,124,1.0,1.0,1.0
n10100,n19938,124,1.0,1.0,1.0
n10101,n20240,124,1.0,1.0,1.0
n10102,n20256,124,1.0,1.0,1.0
n10103,n13603,124,1.0,1.0,1.0
n10104,n13026,124,1.0,1.0,1.0
n10105,n20270,124,1.0,1.0,1.0
n10106,n7833,1,0.008064516129032258,1.0,0.5040322580645161
n10107,n8341,124,1.0,1.0,1.0
n10108,n12184,124,1.0,1.0,1.0
n10109,n8412,124,1.0,1.0,1.0
n1011,n1693,124,1.0,1.0,1.0
n10110,n20277,124,1.0,1.0,1.0
n10111,n20292,124,1.0,1.0,1.0
n10112,n1729,124,1.0,1.0,1.0
n10113,n11953,124,1.0,1.0,1.0
n10114,n18559,124,1.0,1.0,1.0
n10115,n18570,124,1.0,1.0,1.0
