anchor_id,node_id,haplotype_count,U,D,C,alpha,beta,gamma,final_score,selected
a1,n1,4,0.0,0.37209302325581395,0.8125,0.35,0.35,0.3,0.37398255813953485,False
a2,n2,4,0.0,0.18604651162790697,0.875,0.35,0.35,0.3,0.3276162790697674,False
a3,n3,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a4,n4,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a5,n5,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a6,n6,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a7,n7,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a8,n8,4,0.0,0.27906976744186046,0.6666666666666666,0.35,0.35,0.3,0.29767441860465116,False
a9,n9,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a10,n10,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a11,n11,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a12,n12,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a13,n13,4,0.0,0.18604651162790697,0.75,0.35,0.35,0.3,0.29011627906976745,False
a14,n14,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a15,n15,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a16,n16,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a17,n17,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a18,n18,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a19,n19,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a20,n20,4,0.0,0.16279069767441862,0.7857142857142857,0.35,0.35,0.3,0.29269102990033224,False
a21,n21,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a22,n22,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a23,n23,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a24,n24,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a25,n25,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a26,n26,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a27,n27,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a28,n28,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a29,n29,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a30,n30,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a31,n31,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a32,n32,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a33,n33,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a34,n34,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a35,n35,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a36,n36,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a37,n37,4,0.0,0.16279069767441862,0.8928571428571428,0.35,0.35,0.3,0.3248338870431894,False
a38,n38,4,0.0,0.4418604651162791,0.6973684210526316,0.35,0.35,0.3,0.36386168910648714,False
a39,n39,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a40,n40,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a41,n41,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a42,n42,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a43,n43,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a44,n44,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a45,n45,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a46,n46,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a47,n47,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a48,n48,3,0.25,0.13953488372093023,0.8125,0.35,0.35,0.3,0.38008720930232553,False
a49,n49,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a50,n50,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a51,n51,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a52,n52,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a53,n53,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a54,n54,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a55,n55,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a56,n56,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a57,n57,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a58,n58,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a59,n59,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a60,n60,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a61,n61,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a62,n62,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a63,n63,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a64,n64,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a65,n65,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a66,n66,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a67,n67,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a68,n68,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a69,n69,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a70,n70,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a71,n71,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a72,n72,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a73,n73,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a74,n74,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a75,n75,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a76,n76,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a77,n77,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a78,n78,4,0.0,0.18604651162790697,0.75,0.35,0.35,0.3,0.29011627906976745,False
a79,n79,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a80,n80,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a81,n81,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a82,n82,3,0.25,0.06976744186046512,0.9375,0.35,0.35,0.3,0.39316860465116277,False
a83,n83,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a84,n84,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a85,n85,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a86,n86,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a87,n87,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a88,n88,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a89,n89,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a90,n90,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a91,n91,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
a92,n92,4,0.0,0.09302325581395349,1.0,0.35,0.35,0.3,0.3325581395348837,False
