node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n1,4,1.0,0.75,0.5,1.0,0.8125,shared
n2,4,1.0,1.0,0.5,1.0,0.875,shared
n3,4,1.0,1.0,1.0,1.0,1.0,shared
n4,4,1.0,1.0,1.0,1.0,1.0,shared
n5,4,1.0,1.0,1.0,1.0,1.0,shared
n6,4,1.0,1.0,1.0,1.0,1.0,shared
n7,4,1.0,1.0,1.0,1.0,1.0,shared
n8,4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n9,4,1.0,1.0,1.0,1.0,1.0,shared
n10,3,0.75,1.0,1.0,1.0,0.9375,shared
n11,4,1.0,1.0,1.0,1.0,1.0,shared
n12,4,1.0,1.0,1.0,1.0,1.0,shared
n13,4,1.0,0.5,0.5,1.0,0.75,shared
n14,4,1.0,1.0,1.0,1.0,1.0,shared
n15,3,0.75,1.0,1.0,1.0,0.9375,shared
n16,4,1.0,1.0,1.0,1.0,1.0,shared
n17,4,1.0,1.0,1.0,1.0,1.0,shared
n18,4,1.0,1.0,1.0,1.0,1.0,shared
n19,4,1.0,1.0,1.0,1.0,1.0,shared
n20,4,1.0,0.5714285714285714,0.5714285714285714,1.0,0.7857142857142857,shared
n21,3,0.75,1.0,1.0,1.0,0.9375,shared
n22,4,1.0,1.0,1.0,1.0,1.0,shared
n23,4,1.0,1.0,1.0,1.0,1.0,shared
n24,4,1.0,1.0,1.0,1.0,1.0,shared
n25,4,1.0,1.0,1.0,1.0,1.0,shared
n26,4,1.0,1.0,1.0,1.0,1.0,shared
n27,4,1.0,1.0,1.0,1.0,1.0,shared
n28,4,1.0,1.0,1.0,1.0,1.0,shared
n29,4,1.0,1.0,1.0,1.0,1.0,shared
n30,4,1.0,1.0,1.0,1.0,1.0,shared
n31,3,0.75,1.0,1.0,1.0,0.9375,shared
n32,4,1.0,1.0,1.0,1.0,1.0,shared
n33,3,0.75,1.0,1.0,1.0,0.9375,shared
n34,4,1.0,1.0,1.0,1.0,1.0,shared
n35,4,1.0,1.0,1.0,1.0,1.0,shared
n36,3,0.75,1.0,1.0,1.0,0.9375,shared
n37,4,1.0,0.5714285714285714,1.0,1.0,0.8928571428571428,shared
n38,4,1.0,0.42105263157894735,0.3684210526315789,1.0,0.6973684210526316,shared
n39,4,1.0,1.0,1.0,1.0,1.0,shared
n40,4,1.0,1.0,1.0,1.0,1.0,shared
n41,4,1.0,1.0,1.0,1.0,1.0,shared
n42,4,1.0,1.0,1.0,1.0,1.0,shared
n43,3,0.75,1.0,1.0,1.0,0.9375,shared
n44,4,1.0,1.0,1.0,1.0,1.0,shared
n45,4,1.0,1.0,1.0,1.0,1.0,shared
n46,4,1.0,1.0,1.0,1.0,1.0,shared
n47,4,1.0,1.0,1.0,1.0,1.0,shared
n48,3,0.75,0.5,1.0,1.0,0.8125,shared
n49,4,1.0,1.0,1.0,1.0,1.0,shared
n50,4,1.0,1.0,1.0,1.0,1.0,shared
n51,4,1.0,1.0,1.0,1.0,1.0,shared
n52,4,1.0,1.0,1.0,1.0,1.0,shared
n53,3,0.75,1.0,1.0,1.0,0.9375,shared
n54,4,1.0,1.0,1.0,1.0,1.0,shared
n55,4,1.0,1.0,1.0,1.0,1.0,shared
n56,4,1.0,1.0,1.0,1.0,1.0,shared
n57,4,1.0,1.0,1.0,1.0,1.0,shared
n58,4,1.0,1.0,1.0,1.0,1.0,shared
n59,4,1.0,1.0,1.0,1.0,1.0,shared
n60,4,1.0,1.0,1.0,1.0,1.0,shared
n61,4,1.0,1.0,1.0,1.0,1.0,shared
n62,4,1.0,1.0,1.0,1.0,1.0,shared
n63,4,1.0,1.0,1.0,1.0,1.0,shared
n64,4,1.0,1.0,1.0,1.0,1.0,shared
n65,4,1.0,1.0,1.0,1.0,1.0,shared
n66,4,1.0,1.0,1.0,1.0,1.0,shared
n67,4,1.0,1.0,1.0,1.0,1.0,shared
n68,4,1.0,1.0,1.0,1.0,1.0,shared
n69,4,1.0,1.0,1.0,1.0,1.0,shared
n70,4,1.0,1.0,1.0,1.0,1.0,shared
n71,4,1.0,1.0,1.0,1.0,1.0,shared
n72,4,1.0,1.0,1.0,1.0,1.0,shared
n73,4,1.0,1.0,1.0,1.0,1.0,shared
n74,4,1.0,1.0,1.0,1.0,1.0,shared
n75,4,1.0,1.0,1.0,1.0,1.0,shared
n76,4,1.0,1.0,1.0,1.0,1.0,shared
n77,4,1.0,1.0,1.0,1.0,1.0,shared
n78,4,1.0,0.5,0.5,1.0,0.75,shared
n79,4,1.0,1.0,1.0,1.0,1.0,shared
n80,4,1.0,1.0,1.0,1.0,1.0,shared
n81,4,1.0,1.0,1.0,1.0,1.0,shared
n82,3,0.75,1.0,1.0,1.0,0.9375,shared
n83,4,1.0,1.0,1.0,1.0,1.0,shared
n84,4,1.0,1.0,1.0,1.0,1.0,shared
n85,4,1.0,1.0,1.0,1.0,1.0,shared
n86,4,1.0,1.0,1.0,1.0,1.0,shared
n87,4,1.0,1.0,1.0,1.0,1.0,shared
n88,4,1.0,1.0,1.0,1.0,1.0,shared
n89,4,1.0,1.0,1.0,1.0,1.0,shared
n90,4,1.0,1.0,1.0,1.0,1.0,shared
n91,4,1.0,1.0,1.0,1.0,1.0,shared
n92,4,1.0,1.0,1.0,1.0,1.0,shared
n93,3,0.75,1.0,1.0,1.0,0.9375,shared
n94,4,1.0,1.0,1.0,1.0,1.0,shared
n95,4,1.0,1.0,1.0,1.0,1.0,shared
n96,4,1.0,1.0,1.0,1.0,1.0,shared
n97,4,1.0,1.0,1.0,1.0,1.0,shared
n98,4,1.0,1.0,1.0,1.0,1.0,shared
n99,4,1.0,1.0,1.0,1.0,1.0,shared
n100,4,1.0,1.0,1.0,1.0,1.0,shared
n101,4,1.0,1.0,0.5714285714285714,1.0,0.8928571428571428,shared
n102,4,1.0,1.0,1.0,1.0,1.0,shared
n103,4,1.0,1.0,1.0,1.0,1.0,shared
n104,4,1.0,1.0,1.0,1.0,1.0,shared
n105,4,1.0,1.0,1.0,1.0,1.0,shared
n106,4,1.0,1.0,1.0,1.0,1.0,shared
n107,3,0.75,1.0,1.0,1.0,0.9375,shared
n108,4,1.0,1.0,1.0,1.0,1.0,shared
n109,4,1.0,1.0,1.0,1.0,1.0,shared
n110,4,1.0,1.0,1.0,1.0,1.0,shared
n111,4,1.0,1.0,1.0,1.0,1.0,shared
n112,4,1.0,1.0,1.0,1.0,1.0,shared
n113,4,1.0,1.0,1.0,1.0,1.0,shared
n114,4,1.0,1.0,1.0,1.0,1.0,shared
n115,4,1.0,1.0,1.0,1.0,1.0,shared
n116,3,0.75,1.0,1.0,1.0,0.9375,shared
n117,4,1.0,1.0,1.0,1.0,1.0,shared
n118,3,0.75,1.0,0.5,1.0,0.8125,shared
n119,4,1.0,1.0,1.0,1.0,1.0,shared
n120,4,1.0,1.0,1.0,1.0,1.0,shared
n121,4,1.0,1.0,1.0,1.0,1.0,shared
n122,4,1.0,1.0,1.0,1.0,1.0,shared
n123,4,1.0,1.0,1.0,1.0,1.0,shared
n124,4,1.0,1.0,1.0,1.0,1.0,shared
n125,4,1.0,1.0,1.0,1.0,1.0,shared
n126,3,0.75,1.0,1.0,1.0,0.9375,shared
n127,4,1.0,1.0,1.0,1.0,1.0,shared
n128,3,0.75,1.0,1.0,1.0,0.9375,shared
n129,3,0.75,1.0,1.0,1.0,0.9375,shared
n130,4,1.0,1.0,1.0,1.0,1.0,shared
n131,4,1.0,1.0,1.0,1.0,1.0,shared
n132,4,1.0,1.0,1.0,1.0,1.0,shared
n133,4,1.0,1.0,1.0,1.0,1.0,shared
n134,4,1.0,1.0,1.0,1.0,1.0,shared
n135,4,1.0,1.0,1.0,1.0,1.0,shared
n136,4,1.0,1.0,1.0,1.0,1.0,shared
n137,4,1.0,1.0,1.0,1.0,1.0,shared
n138,4,1.0,1.0,1.0,1.0,1.0,shared
n139,4,1.0,1.0,1.0,1.0,1.0,shared
n140,3,0.75,1.0,1.0,1.0,0.9375,shared
n141,4,1.0,1.0,1.0,1.0,1.0,shared
n142,4,1.0,1.0,1.0,1.0,1.0,shared
n143,4,1.0,1.0,1.0,1.0,1.0,shared
n144,4,1.0,1.0,1.0,1.0,1.0,shared
n145,4,1.0,1.0,1.0,1.0,1.0,shared
n146,4,1.0,1.0,1.0,1.0,1.0,shared
n147,4,1.0,1.0,1.0,1.0,1.0,shared
n148,4,1.0,1.0,1.0,1.0,1.0,shared
n149,4,1.0,1.0,1.0,1.0,1.0,shared
n150,4,1.0,0.5,1.0,1.0,0.875,shared
n151,4,1.0,1.0,1.0,1.0,1.0,shared
n152,4,1.0,1.0,1.0,1.0,1.0,shared
n153,4,1.0,1.0,1.0,1.0,1.0,shared
n154,4,1.0,1.0,1.0,1.0,1.0,shared
n155,4,1.0,1.0,1.0,1.0,1.0,shared
n156,4,1.0,1.0,1.0,1.0,1.0,shared
n157,4,1.0,1.0,1.0,1.0,1.0,shared
n158,4,1.0,1.0,1.0,1.0,1.0,shared
n159,4,1.0,1.0,1.0,1.0,1.0,shared
n160,4,1.0,1.0,1.0,1.0,1.0,shared
n161,4,1.0,1.0,1.0,1.0,1.0,shared
n162,4,1.0,1.0,1.0,1.0,1.0,shared
n163,3,0.75,1.0,1.0,1.0,0.9375,shared
n164,4,1.0,1.0,1.0,1.0,1.0,shared
n165,4,1.0,1.0,1.0,1.0,1.0,shared
n166,4,1.0,1.0,1.0,1.0,1.0,shared
n167,4,1.0,1.0,1.0,1.0,1.0,shared
n168,4,1.0,1.0,1.0,1.0,1.0,shared
n169,3,0.75,1.0,1.0,1.0,0.9375,shared
n170,4,1.0,0.5714285714285714,0.5714285714285714,1.0,0.7857142857142857,shared
n171,4,1.0,1.0,1.0,1.0,1.0,shared
n172,4,1.0,1.0,1.0,1.0,1.0,shared
n173,4,1.0,1.0,1.0,1.0,1.0,shared
n174,4,1.0,1.0,1.0,1.0,1.0,shared
n175,4,1.0,1.0,1.0,1.0,1.0,shared
n176,4,1.0,1.0,1.0,1.0,1.0,shared
n177,4,1.0,1.0,1.0,1.0,1.0,shared
n178,4,1.0,1.0,1.0,1.0,1.0,shared
n179,4,1.0,0.5,0.5,1.0,0.75,shared
n180,4,1.0,1.0,1.0,1.0,1.0,shared
n181,4,1.0,1.0,1.0,1.0,1.0,shared
n182,3,0.75,1.0,1.0,1.0,0.9375,shared
n183,4,1.0,1.0,1.0,1.0,1.0,shared
n184,4,1.0,1.0,1.0,1.0,1.0,shared
n185,4,1.0,1.0,1.0,1.0,1.0,shared
n186,3,0.75,1.0,1.0,1.0,0.9375,shared
n187,4,1.0,1.0,1.0,1.0,1.0,shared
n188,3,0.75,1.0,1.0,1.0,0.9375,shared
n189,3,0.75,1.0,1.0,1.0,0.9375,shared
n190,4,1.0,1.0,1.0,1.0,1.0,shared
n191,4,1.0,1.0,1.0,1.0,1.0,shared
n192,4,1.0,1.0,1.0,1.0,1.0,shared
n193,3,0.75,1.0,1.0,1.0,0.9375,shared
n194,4,1.0,1.0,1.0,1.0,1.0,shared
n195,4,1.0,1.0,1.0,1.0,1.0,shared
n196,4,1.0,1.0,1.0,1.0,1.0,shared
n197,4,1.0,1.0,1.0,1.0,1.0,shared
n198,4,1.0,1.0,1.0,1.0,1.0,shared
n199,4,1.0,1.0,1.0,1.0,1.0,shared
n200,3,0.75,1.0,1.0,1.0,0.9375,shared
n201,4,1.0,1.0,1.0,1.0,1.0,shared
n202,4,1.0,1.0,1.0,1.0,1.0,shared
n203,4,1.0,1.0,1.0,1.0,1.0,shared
n204,4,1.0,1.0,1.0,1.0,1.0,shared
n205,4,1.0,1.0,1.0,1.0,1.0,shared
n206,4,1.0,1.0,1.0,1.0,1.0,shared
n207,4,1.0,1.0,1.0,1.0,1.0,shared
n208,4,1.0,1.0,1.0,1.0,1.0,shared
n209,4,1.0,1.0,1.0,1.0,1.0,shared
n210,4,1.0,1.0,1.0,1.0,1.0,shared
n211,4,1.0,1.0,1.0,1.0,1.0,shared
n212,4,1.0,1.0,1.0,1.0,1.0,shared
n213,4,1.0,1.0,1.0,1.0,1.0,shared
n214,3,0.75,1.0,1.0,1.0,0.9375,shared
n215,4,1.0,1.0,1.0,1.0,1.0,shared
n216,4,1.0,1.0,1.0,1.0,1.0,shared
n217,4,1.0,1.0,1.0,1.0,1.0,shared
n218,4,1.0,1.0,1.0,1.0,1.0,shared
n219,4,1.0,1.0,1.0,1.0,1.0,shared
n220,4,1.0,1.0,1.0,1.0,1.0,shared
n221,4,1.0,1.0,1.0,1.0,1.0,shared
n222,4,1.0,1.0,1.0,1.0,1.0,shared
n223,4,1.0,1.0,1.0,1.0,1.0,shared
n224,4,1.0,1.0,1.0,1.0,1.0,shared
n225,4,1.0,1.0,1.0,1.0,1.0,shared
n226,4,1.0,1.0,1.0,1.0,1.0,shared
n227,4,1.0,1.0,1.0,1.0,1.0,shared
n228,3,0.75,1.0,1.0,1.0,0.9375,shared
