node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n1,14,1.0,0.75,0.5,1.0,0.8125,shared
n2,14,1.0,1.0,0.5,1.0,0.875,shared
n3,14,1.0,1.0,1.0,1.0,1.0,shared
n4,14,1.0,1.0,1.0,1.0,1.0,shared
n5,14,1.0,1.0,1.0,1.0,1.0,shared
n6,14,1.0,1.0,1.0,1.0,1.0,shared
n7,14,1.0,1.0,1.0,1.0,1.0,shared
n8,14,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n9,14,1.0,1.0,1.0,1.0,1.0,shared
n10,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n11,14,1.0,1.0,1.0,1.0,1.0,shared
n12,14,1.0,1.0,1.0,1.0,1.0,shared
n13,14,1.0,0.5,0.5,1.0,0.75,shared
n14,14,1.0,1.0,1.0,1.0,1.0,shared
n15,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n16,14,1.0,1.0,1.0,1.0,1.0,shared
n17,14,1.0,1.0,1.0,1.0,1.0,shared
n18,14,1.0,1.0,1.0,1.0,1.0,shared
n19,14,1.0,1.0,1.0,1.0,1.0,shared
n20,14,1.0,0.5185185185185185,0.5185185185185185,1.0,0.7592592592592593,shared
n21,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n22,14,1.0,1.0,1.0,1.0,1.0,shared
n23,14,1.0,1.0,1.0,1.0,1.0,shared
n24,14,1.0,1.0,1.0,1.0,1.0,shared
n25,14,1.0,1.0,1.0,1.0,1.0,shared
n26,14,1.0,1.0,1.0,1.0,1.0,shared
n27,14,1.0,1.0,1.0,1.0,1.0,shared
n28,14,1.0,1.0,1.0,1.0,1.0,shared
n29,14,1.0,1.0,1.0,1.0,1.0,shared
n30,14,1.0,1.0,1.0,1.0,1.0,shared
n31,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n32,14,1.0,1.0,1.0,1.0,1.0,shared
n33,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n34,14,1.0,1.0,1.0,1.0,1.0,shared
n35,14,1.0,1.0,1.0,1.0,1.0,shared
n36,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n37,14,1.0,0.5185185185185185,1.0,1.0,0.8796296296296297,shared
n38,14,1.0,0.4057971014492754,0.391304347826087,1.0,0.6992753623188406,shared
n39,14,1.0,1.0,1.0,1.0,1.0,shared
n40,14,1.0,1.0,1.0,1.0,1.0,shared
n41,14,1.0,1.0,1.0,1.0,1.0,shared
n42,14,1.0,1.0,1.0,1.0,1.0,shared
n43,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n44,14,1.0,1.0,1.0,1.0,1.0,shared
n45,14,1.0,1.0,1.0,1.0,1.0,shared
n46,14,1.0,1.0,1.0,1.0,1.0,shared
n47,14,1.0,1.0,1.0,1.0,1.0,shared
n48,13,0.9285714285714286,0.5,1.0,1.0,0.8571428571428572,shared
n49,14,1.0,1.0,1.0,1.0,1.0,shared
n50,14,1.0,1.0,1.0,1.0,1.0,shared
n51,14,1.0,1.0,1.0,1.0,1.0,shared
n52,14,1.0,1.0,1.0,1.0,1.0,shared
n53,13,0.9285714285714286,1.0,1.0,1.0,0.9821428571428572,shared
n54,14,1.0,1.0,1.0,1.0,1.0,shared
n55,14,1.0,1.0,1.0,1.0,1.0,shared
n56,14,1.0,1.0,1.0,1.0,1.0,shared
n57,14,1.0,1.0,1.0,1.0,1.0,shared
n58,14,1.0,1.0,1.0,1.0,1.0,shared
n59,14,1.0,1.0,1.0,1.0,1.0,shared
n60,14,1.0,1.0,1.0,1.0,1.0,shared
n61,14,1.0,1.0,1.0,1.0,1.0,shared
n62,14,1.0,1.0,1.0,1.0,1.0,shared
n63,14,1.0,1.0,1.0,1.0,1.0,shared
n64,14,1.0,1.0,1.0,1.0,1.0,shared
n65,14,1.0,1.0,1.0,1.0,1.0,shared
n66,14,1.0,1.0,1.0,1.0,1.0,shared
n67,14,1.0,1.0,1.0,1.0,1.0,shared
n68,14,1.0,1.0,1.0,1.0,1.0,shared
n69,14,1.0,1.0,1.0,1.0,1.0,shared
