assembly_id,haplotype_label,path_length,valid_transition_count,transition_fraction,mean_node_consistency,mean_edge_consistency,rescued_node_count,questionable_node_count,consistency_score
PSEN2_H_1,HEALTHY,16368,16367,1.0,0.9819040391020051,0.991086633270601,4,0,0.9918972017117818
PSEN2_H_2,HEALTHY,16369,16368,1.0,0.9819040536916588,0.9910849958733023,4,0,0.9918967148694884
PSEN2_H_5,HEALTHY,16369,16368,1.0,0.9819149628143035,0.9910567982644596,3,0,0.9918915283236289
PSEN2_H_6,HEALTHY,16368,16367,1.0,0.9819204037857084,0.9911218824351958,3,0,0.9919126858662712
PSEN2_H_7,HEALTHY,16370,16369,1.0,0.981906249970777,0.9910920859741802,4,0,0.9918995007834871
PSEN2_H_8,HEALTHY,16369,16368,1.0,0.9819215082878903,0.9911269566007469,3,0,0.9919145394665911
PSEN2_H_9,HEALTHY,16368,16367,1.0,0.981923858552268,0.9911307786529269,3,0,0.9919163911615585
PSEN2_U_1,UNHEALTHY,12477,12476,1.0,0.985665624055302,0.9997681262309348,3,0,0.995630125085871
PSEN2_U_2,UNHEALTHY,16365,16364,1.0,0.981935639510727,0.9911573571665847,2,0,0.9919278990031936
PSEN2_U_3,UNHEALTHY,16368,16367,1.0,0.9819324045537576,0.9911458854377533,2,0,0.9919234869974534
PSEN2_U_4,UNHEALTHY,16367,16366,1.0,0.9819260272629129,0.9911369792373093,3,0,0.9919189019500666
PSEN2_U_5,UNHEALTHY,16369,16368,1.0,0.9819105991652456,0.9911031788551949,4,0,0.9919041334061321
PSEN2_U_7,UNHEALTHY,16369,16368,1.0,0.9819193264633613,0.9911180609265287,3,0,0.991911216216967
PSEN2_U_9,UNHEALTHY,16369,16368,1.0,0.981895326393543,0.9910700578543321,5,0,0.9918896152743626
