source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n1,n15,4,1.0,1.0,1.0
n1,n2,4,1.0,1.0,1.0
n1,n5,4,1.0,1.0,1.0
n10,n244,4,1.0,1.0,1.0
n10,n245,4,1.0,1.0,1.0
n10,n86,4,1.0,1.0,1.0
n100,n1018,4,1.0,1.0,1.0
n1000,n14277,3,0.75,1.0,0.875
n10000,n15664,4,1.0,1.0,1.0
n10001,n16786,4,1.0,1.0,1.0
n10002,n17005,4,1.0,1.0,1.0
n10003,n17024,3,0.75,0.75,0.75
n10003,n20486,4,1.0,1.0,1.0
n10004,n17130,4,1.0,1.0,1.0
n10005,n17235,4,1.0,1.0,1.0
n10006,n20003,3,0.75,1.0,0.875
n10007,n15704,4,1.0,1.0,1.0
n10008,n17377,4,1.0,1.0,1.0
n10009,n15712,4,1.0,1.0,1.0
n1001,n14481,4,1.0,1.0,1.0
n10010,n15721,4,1.0,1.0,1.0
n10011,n17632,3,0.75,1.0,0.875
n10012,n15723,4,1.0,1.0,1.0
n10013,n17753,4,1.0,1.0,1.0
n10014,n20716,4,1.0,1.0,1.0
n10015,n15749,4,1.0,1.0,1.0
n10016,n20833,4,1.0,1.0,1.0
n10017,n20035,3,0.75,1.0,0.875
n10018,n19010,4,1.0,1.0,1.0
n10019,n20039,4,1.0,1.0,1.0
n1002,n14298,4,1.0,1.0,1.0
n10020,n15802,4,1.0,1.0,1.0
n10021,n20048,4,1.0,1.0,1.0
n10022,n21141,3,0.75,1.0,0.875
n10023,n20050,3,0.75,1.0,0.875
n10024,n21179,3,0.75,1.0,0.875
n10024,n21180,3,0.75,1.0,0.875
n10025,n21198,4,1.0,1.0,1.0
n10026,n21219,4,1.0,1.0,1.0
n10027,n20201,3,0.75,1.0,0.875
n10028,n20288,3,0.75,1.0,0.875
n10029,n15848,4,1.0,1.0,1.0
n1003,n14312,4,1.0,1.0,1.0
n10030,n15849,4,1.0,1.0,1.0
n10031,n21330,4,1.0,1.0,1.0
n10032,n20064,4,1.0,1.0,1.0
n10033,n20067,4,1.0,1.0,1.0
n10034,n20589,4,1.0,1.0,1.0
n10035,n21526,4,1.0,1.0,1.0
n10036,n15895,4,1.0,1.0,1.0
n10037,n20084,3,0.75,1.0,0.875
n10038,n21670,4,1.0,1.0,1.0
n10039,n21722,4,1.0,1.0,1.0
n1004,n14325,4,1.0,1.0,1.0
n10040,n20094,4,1.0,1.0,1.0
n10040,n21471,4,1.0,1.0,1.0
n10041,n21696,4,1.0,1.0,1.0
n10042,n15939,4,1.0,1.0,1.0
n10043,n15974,4,1.0,1.0,1.0
n10044,n383,4,1.0,1.0,1.0
n10045,n524,3,0.75,1.0,0.875
n10046,n527,3,0.75,1.0,0.875
n10047,n20141,4,1.0,1.0,1.0
n10048,n1806,4,1.0,1.0,1.0
n10049,n16076,4,1.0,1.0,1.0
n1005,n14626,4,1.0,1.0,1.0
n10050,n673,4,1.0,1.0,1.0
n10051,n761,4,1.0,1.0,1.0
n10052,n959,3,0.75,1.0,0.875
n10053,n988,3,0.75,1.0,0.875
n10054,n16146,4,1.0,1.0,1.0
n10055,n16149,4,1.0,1.0,1.0
n10056,n4330,4,1.0,1.0,1.0
n10057,n16190,4,1.0,1.0,1.0
n10058,n20191,4,1.0,1.0,1.0
n10059,n1374,4,1.0,1.0,1.0
n1006,n3695,4,1.0,1.0,1.0
n10060,n5350,4,1.0,1.0,1.0
n10061,n1548,3,0.75,1.0,0.875
n10062,n16263,3,0.75,1.0,0.875
n10063,n1716,4,1.0,1.0,1.0
n10064,n1724,4,1.0,1.0,1.0
n10065,n20213,4,1.0,1.0,1.0
n10066,n1762,4,1.0,1.0,1.0
n10067,n6953,4,1.0,1.0,1.0
n10068,n1902,4,1.0,1.0,1.0
n10069,n8134,3,0.75,1.0,0.875
n1007,n15781,4,1.0,1.0,1.0
n10070,n2083,4,1.0,1.0,1.0
n10071,n8591,4,1.0,1.0,1.0
n10072,n20239,3,0.75,1.0,0.875
n10073,n16356,4,1.0,1.0,1.0
n10074,n2224,4,1.0,1.0,1.0
n10075,n16372,4,1.0,1.0,1.0
n10076,n20244,4,1.0,1.0,1.0
n10077,n16383,3,0.75,1.0,0.875
n10078,n16389,4,1.0,1.0,1.0
n10079,n2345,4,1.0,1.0,1.0
n1008,n14355,4,1.0,1.0,1.0
n10080,n20264,4,1.0,1.0,1.0
n10081,n10711,3,0.75,1.0,0.875
n10082,n10864,3,0.75,1.0,0.875
n10083,n2744,4,1.0,1.0,1.0
n10084,n20275,4,1.0,1.0,1.0
n10085,n20279,4,1.0,1.0,1.0
n10086,n20289,4,1.0,1.0,1.0
n10087,n20291,4,1.0,1.0,1.0
n10088,n3439,3,0.75,1.0,0.875
n10089,n20307,4,1.0,1.0,1.0
n1009,n14778,4,1.0,1.0,1.0
n10090,n3521,4,1.0,1.0,1.0
n10091,n20315,4,1.0,1.0,1.0
n10092,n20320,4,1.0,1.0,1.0
n10093,n14606,4,1.0,1.0,1.0
n10094,n3884,3,0.75,1.0,0.875
n10095,n3907,4,1.0,1.0,1.0
n10096,n15111,4,1.0,1.0,1.0
n10097,n16646,4,1.0,1.0,1.0
n10098,n15826,3,0.75,1.0,0.875
n10099,n4216,4,1.0,1.0,1.0
n101,n3832,4,1.0,1.0,1.0
n1010,n14786,4,1.0,1.0,1.0
n10100,n16463,4,1.0,1.0,1.0
n10101,n16747,4,1.0,1.0,1.0
n10102,n20365,3,0.75,1.0,0.875
n10103,n20367,4,1.0,1.0,1.0
n10104,n16729,4,1.0,1.0,1.0
n10105,n20374,4,1.0,1.0,1.0
n10106,n20380,4,1.0,1.0,1.0
n10107,n20397,3,0.75,1.0,0.875
n10108,n4734,4,1.0,1.0,1.0
n10109,n16792,3,0.75,1.0,0.875
n1011,n14826,4,1.0,1.0,1.0
n10110,n16823,4,1.0,1.0,1.0
n10111,n5076,4,1.0,1.0,1.0
n10112,n20463,4,1.0,1.0,1.0
n10113,n20421,4,1.0,1.0,1.0
n10114,n21323,4,1.0,1.0,1.0
n10115,n21370,4,1.0,1.0,1.0
n10116,n21381,4,1.0,1.0,1.0
n10117,n20448,4,1.0,1.0,1.0
